visit_id,total_time_diff,client_id,variation
10195285_83113954302_914786,393.0,8252266,Control
101964240_76921976749_632667,0.0,2200195,Test
101992635_61594742250_953624,229.0,6642237,Control
102011341_65573429752_679025,84.0,88378,Control
102023307_11552556299_423138,0.0,4863666,Test
102028949_77333531405_172916,107.0,3606469,Test
102039130_96083762708_562998,719.0,1688588,Test
102040676_43919492336_211555,772.0,1081771,Test
102080539_2157046535_369903,0.0,7812894,Control
10208190_60248923635_552228,18.0,3934629,Control
10208508_48498393982_276767,2459.0,20185,Test
102087008_74127215915_642470,734.0,9009821,Control
10210243_96284954273_763426,658.0,608002,Control
102107667_79348620618_407005,57.0,6363082,Control
102117430_8358683171_251810,377.0,5084415,Control
102118013_73394275138_810845,0.0,9965526,Control
102127158_52101637420_767224,0.0,1364913,Test
102135578_44389748355_529451,374.0,6980355,Test
102142817_7580637917_670602,0.0,1373405,Test
102156481_9712246009_751130,5.0,1194972,Control
102172447_66154207246_163667,5.0,568717,Control
102192856_36776313213_528609,95.0,9223714,Test
102193071_86164823980_207231,682.0,1234849,Control
102196638_7300689157_648696,0.0,6861882,Test
10219761_62886288888_316058,7.0,1695407,Control
102211813_41749528713_49412,189.0,7751403,Control
102214391_53690192711_710157,0.0,7676929,Test
102239627_21788120461_642410,149.0,9509478,Test
102241937_44186923257_675771,87.0,2268205,Control
102244529_84725290299_488803,0.0,3971370,Test
102248635_49263086114_638760,0.0,7280817,Test
102258111_12712392228_569788,1815.0,3418515,Test
102260327_62370031760_695202,165.0,2319496,Test
102313083_89099432393_519923,333.0,9455842,Test
102325392_86547848475_112415,0.0,9106010,Control
10233178_18548402935_608194,0.0,8664229,Control
102335079_31127942488_988541,832.0,9519150,Test
10234907_41978095975_824674,101.0,5075261,Test
102356663_77602239627_289902,65.0,8733701,Test
102420850_45848793138_457210,0.0,1205471,Control
102421900_70236787868_561855,0.0,8358616,Control
102444768_32769766838_982610,406.0,5630016,Control
102461853_89884307837_366717,84.0,5864399,Control
102471329_42330730217_249767,0.0,1754189,Control
102484927_98294291724_438700,218.0,5388829,Test
102494042_58914135776_502357,62.0,362107,Test
102499021_85930930609_946443,233.0,4630890,Test
10250417_54755943070_630567,35.0,2967792,Control
102530721_90592399939_135279,1082.0,4196060,Control
102533008_90910706675_937858,15.0,9098597,Test
102536241_9330188050_272777,255.0,7714175,Test
102557097_40239704786_584359,0.0,4301480,Control
102592926_95416944746_414256,0.0,654172,Test
102658008_48118015069_66903,513.0,4503552,Control
102665060_37915112799_22973,691.0,8153325,Control
102676129_2928490180_116179,15.0,5490056,Test
102700395_3650299328_241644,259.0,7854180,Control
102711693_32673812507_268789,116.0,6383242,Control
102712882_62553151276_884405,0.0,1185501,Test
10271778_60310580255_346120,238.0,9371642,Test
102726299_88890501425_250481,101.0,2963023,Test
102732284_85491431716_901533,541.0,499278,Control
102736795_17468849335_437561,0.0,8920170,Test
102777033_42146116298_112667,133.0,464397,Test
102779011_83152676059_817594,0.0,3994773,Control
102784099_87525732926_154143,315.0,6418203,Test
102801864_49345732746_12571,223.0,3548520,Control
102829584_93976627605_480184,369.0,8397383,Test
102837653_94701008367_878441,348.0,1682129,Test
102846212_50902509516_776918,127.0,1807611,Test
102870081_77463689264_654344,238.0,4540897,Test
102878449_27122708953_916774,41.0,8936124,Test
102916667_11468243351_655545,0.0,9677689,Control
102940379_7417592296_388628,0.0,3095311,Test
102949387_26784818853_893988,26.0,5031420,Control
102975007_58653569101_864796,943.0,4449592,Test
10297728_36443899834_420540,247.0,4805014,Test
10297943_82235334464_956711,26.0,4018288,Test
102999029_97734962870_849096,693.0,8712,Test
103003186_87917713003_452667,0.0,560955,Control
103011713_52375037238_774666,863.0,1645625,Test
103021888_19484517133_523435,121.0,5824640,Control
10302777_33961048646_359086,413.0,2132645,Test
103041874_95879211699_309427,0.0,3709450,Control
103049564_53637551445_140548,1060.0,3482195,Control
103067846_46368558812_483037,313.0,8191466,Test
103074110_36036427436_224168,625.0,4728164,Control
103097108_59620739018_675854,160.0,1368796,Control
103099657_39558218628_73278,56.0,7749406,Control
103103875_46336298052_373337,107.0,9110158,Test
103116910_64895230489_690799,545.0,9606541,Test
103130243_32100266511_903233,138.0,9541276,Test
103136978_65760039883_30108,0.0,2152815,Test
103153313_89180810554_652969,161.0,5882141,Test
10316232_45686287355_885895,0.0,9609949,Control
103190227_18153491384_523716,243.0,9355560,Test
103203733_87955828038_624161,0.0,4764904,Test
103206917_79424670085_548578,109.0,6572513,Control
103231866_97001718341_176355,106.0,1877137,Test
103250270_91305892356_725889,403.0,2320677,Test
